_time,T1--Temp_01_Lid,T1--Temp_02_SideWall,T1--Temp_03_Handle,T1--Temp_04_InnerWall,T1--Temp_05_Ambient_Temp,elapsed_minutes,Weighted_Temp,Doneness_Score
2026-03-17 08:41:47.789000+00:00,31.691,31.312,31.759,31.352,31.192,0.37784999999999996,31.4118,0.3194396000465053
2026-03-17 08:41:48.301000+00:00,31.691,31.312,31.759,31.352,31.192,0.38638333333333336,31.4118,0.3194396000465053
2026-03-17 08:41:48.813000+00:00,31.691,31.312,31.759,31.352,31.192,0.3949166666666667,31.4118,0.3194396000465053
2026-03-17 08:41:49.326000+00:00,31.693,31.312,31.757,31.365,31.208,0.40346666666666664,31.419999999999998,0.30817536922897976
2026-03-17 08:41:49.836000+00:00,31.693,31.312,31.757,31.365,31.208,0.41196666666666665,31.419999999999998,0.30817536922897976
2026-03-17 08:41:50.348000+00:00,31.693,31.312,31.757,31.365,31.208,0.4205,31.419999999999998,0.30817536922897976
2026-03-17 08:41:50.861000+00:00,31.693,31.312,31.757,31.365,31.208,0.42905,31.419999999999998,0.30817536922897976
2026-03-17 08:41:51.373000+00:00,31.685,31.325,31.408,31.355,31.221,0.4375833333333333,31.415,0.2820628389479333
2026-03-17 08:41:51.944000+00:00,31.685,31.325,31.408,31.355,31.221,0.4471,31.415,0.2820628389479333
2026-03-17 08:41:52.544000+00:00,31.685,31.325,31.408,31.355,31.221,0.45709999999999995,31.415,0.2820628389479333
2026-03-17 08:41:53.115000+00:00,31.685,31.325,31.408,31.355,31.221,0.4666166666666667,31.415,0.2820628389479333
2026-03-17 08:41:53.624000+00:00,31.68,31.317,31.39,31.365,31.229,0.4751,31.418400000000002,0.2754067848366356
2026-03-17 08:41:54.145000+00:00,31.68,31.317,31.39,31.365,31.229,0.48378333333333334,31.418400000000002,0.2754067848366356
2026-03-17 08:41:54.648000+00:00,31.68,31.317,31.39,31.365,31.229,0.4921666666666667,31.418400000000002,0.2754067848366356
2026-03-17 08:41:55.160000+00:00,31.68,31.317,31.39,31.365,31.229,0.5007,31.418400000000002,0.2754067848366356
2026-03-17 08:41:55.676000+00:00,31.683,31.317,31.659,31.357,31.255,0.5093,31.4142,0.2315804785802633
2026-03-17 08:41:56.187000+00:00,31.683,31.317,31.659,31.357,31.255,0.5178166666666667,31.4142,0.2315804785802633
2026-03-17 08:41:56.702000+00:00,31.683,31.317,31.659,31.357,31.255,0.5264,31.4142,0.2315804785802633
2026-03-17 08:41:57.215000+00:00,31.683,31.317,31.659,31.357,31.255,0.53495,31.4142,0.2315804785802633
2026-03-17 08:41:57.717000+00:00,31.672,31.324,31.753,31.351,31.234,0.5433166666666666,31.409799999999997,0.25564959427623435
2026-03-17 08:41:58.235000+00:00,31.672,31.324,31.753,31.351,31.234,0.5519499999999999,31.409799999999997,0.25564959427623435
2026-03-17 08:41:58.804000+00:00,31.672,31.324,31.753,31.351,31.234,0.5614333333333333,31.409799999999997,0.25564959427623435
2026-03-17 08:41:59.361000+00:00,31.672,31.324,31.753,31.351,31.234,0.5707166666666666,31.409799999999997,0.25564959427623435
2026-03-17 08:41:59.873000+00:00,31.675,31.319,31.608,31.361,31.242,0.57925,31.4154,0.25218883620815163
2026-03-17 08:42:00.384000+00:00,31.675,31.319,31.608,31.361,31.242,0.5877666666666667,31.4154,0.25218883620815163
2026-03-17 08:42:00.895000+00:00,31.675,31.319,31.608,31.361,31.242,0.5962833333333334,31.4154,0.25218883620815163
2026-03-17 08:42:01.407000+00:00,31.675,31.319,31.608,31.361,31.242,0.6048166666666667,31.4154,0.25218883620815163
2026-03-17 08:42:01.922000+00:00,31.693,31.34,31.724,31.346,31.231,0.6134000000000001,31.4142,0.2663991042475525
2026-03-17 08:42:02.433000+00:00,31.693,31.34,31.724,31.346,31.231,0.6219166666666667,31.4142,0.2663991042475525
2026-03-17 08:42:03.007000+00:00,31.693,31.34,31.724,31.346,31.231,0.6314833333333334,31.4142,0.2663991042475525
2026-03-17 08:42:03.559000+00:00,31.701,31.345,31.946,31.356,31.226,0.6406833333333334,31.422800000000002,0.2861546514671289
2026-03-17 08:42:04.070000+00:00,31.701,31.345,31.946,31.356,31.226,0.6492,31.422800000000002,0.2861546514671289
2026-03-17 08:42:04.586000+00:00,31.701,31.345,31.946,31.356,31.226,0.6578,31.422800000000002,0.2861546514671289
