_time,T1--Temp_01_Lid,T1--Temp_02_SideWall,T1--Temp_03_Handle,T1--Temp_04_InnerWall,T1--Temp_05_Ambient_Temp
2026-03-17T08:41:25.118Z,31.706,31.278,30.877,31.363,31.26
2026-03-17T08:41:25.671Z,31.706,31.278,30.877,31.363,31.26
2026-03-17T08:41:26.182Z,31.706,31.278,30.877,31.363,31.26
2026-03-17T08:41:26.697Z,31.706,31.278,30.877,31.363,31.26
2026-03-17T08:41:27.208Z,31.706,31.265,30.808,31.368,31.255
2026-03-17T08:41:27.721Z,31.706,31.265,30.808,31.368,31.255
2026-03-17T08:41:28.227Z,31.706,31.265,30.808,31.368,31.255
2026-03-17T08:41:28.745Z,31.706,31.265,30.808,31.368,31.255
2026-03-17T08:41:29.313Z,31.691,31.273,30.756,31.371,31.216
2026-03-17T08:41:29.882Z,31.691,31.273,30.756,31.371,31.216
2026-03-17T08:41:30.383Z,31.691,31.273,30.756,31.371,31.216
2026-03-17T08:41:30.948Z,31.706,31.278,30.795,31.357,31.237
2026-03-17T08:41:31.513Z,31.706,31.278,30.795,31.357,31.237
2026-03-17T08:41:32.085Z,31.706,31.278,30.795,31.357,31.237
2026-03-17T08:41:32.655Z,31.706,31.278,30.795,31.357,31.237
2026-03-17T08:41:33.249Z,31.685,31.271,30.852,31.356,31.231
2026-03-17T08:41:33.819Z,31.685,31.271,30.852,31.356,31.231
2026-03-17T08:41:34.346Z,31.685,31.271,30.852,31.356,31.231
2026-03-17T08:41:34.895Z,31.685,31.271,30.852,31.356,31.231
2026-03-17T08:41:35.4Z,31.677,31.274,31.145,31.348,31.216
2026-03-17T08:41:35.956Z,31.677,31.274,31.145,31.348,31.216
2026-03-17T08:41:36.526Z,31.677,31.274,31.145,31.348,31.216
2026-03-17T08:41:37.04Z,31.691,31.282,31.238,31.346,31.231
2026-03-17T08:41:37.547Z,31.691,31.282,31.238,31.346,31.231
2026-03-17T08:41:38.063Z,31.691,31.282,31.238,31.346,31.231
2026-03-17T08:41:38.574Z,31.691,31.282,31.238,31.346,31.231
2026-03-17T08:41:39.088Z,31.683,31.279,31.166,31.369,31.231
2026-03-17T08:41:39.6Z,31.683,31.279,31.166,31.369,31.231
2026-03-17T08:41:40.171Z,31.683,31.279,31.166,31.369,31.231
2026-03-17T08:41:40.722Z,31.683,31.279,31.166,31.369,31.231
2026-03-17T08:41:41.29Z,31.672,31.282,31.172,31.351,31.213
2026-03-17T08:41:41.855Z,31.672,31.282,31.172,31.351,31.213
2026-03-17T08:41:42.426Z,31.672,31.282,31.172,31.351,31.213
2026-03-17T08:41:42.978Z,31.672,31.282,31.172,31.351,31.213
2026-03-17T08:41:43.488Z,31.68,31.279,31.18,31.343,31.192
2026-03-17T08:41:44Z,31.68,31.279,31.18,31.343,31.192
2026-03-17T08:41:44.513Z,31.68,31.279,31.18,31.343,31.192
2026-03-17T08:41:45.08Z,31.68,31.279,31.18,31.343,31.192
2026-03-17T08:41:45.659Z,31.696,31.302,31.501,31.357,31.181
2026-03-17T08:41:46.255Z,31.696,31.302,31.501,31.357,31.181
2026-03-17T08:41:46.767Z,31.696,31.302,31.501,31.357,31.181
2026-03-17T08:41:47.276Z,31.691,31.312,31.759,31.352,31.192
2026-03-17T08:41:47.789Z,31.691,31.312,31.759,31.352,31.192
2026-03-17T08:41:48.301Z,31.691,31.312,31.759,31.352,31.192
2026-03-17T08:41:48.813Z,31.691,31.312,31.759,31.352,31.192
2026-03-17T08:41:49.326Z,31.693,31.312,31.757,31.365,31.208
2026-03-17T08:41:49.836Z,31.693,31.312,31.757,31.365,31.208
2026-03-17T08:41:50.348Z,31.693,31.312,31.757,31.365,31.208
2026-03-17T08:41:50.861Z,31.693,31.312,31.757,31.365,31.208
2026-03-17T08:41:51.373Z,31.685,31.325,31.408,31.355,31.221
2026-03-17T08:41:51.944Z,31.685,31.325,31.408,31.355,31.221
2026-03-17T08:41:52.544Z,31.685,31.325,31.408,31.355,31.221
2026-03-17T08:41:53.115Z,31.685,31.325,31.408,31.355,31.221
2026-03-17T08:41:53.624Z,31.68,31.317,31.39,31.365,31.229
2026-03-17T08:41:54.145Z,31.68,31.317,31.39,31.365,31.229
2026-03-17T08:41:54.648Z,31.68,31.317,31.39,31.365,31.229
2026-03-17T08:41:55.16Z,31.68,31.317,31.39,31.365,31.229
2026-03-17T08:41:55.676Z,31.683,31.317,31.659,31.357,31.255
